iteration,time,steps,cost,best_cost,benchmark,vnd_method,shake_operator,improvement,prob_sequential,prob_pipe,prob_nested,prob_variable,prob_cyclic
20,4.999558687210083,177720,1824.0,1628.0,1610,variable,2opt,196.0,0.10000012039197387,0.10000012039197387,0.10000012039197387,0.5999995184321045,0.10000012039197387
20,5.0655646324157715,180165,1773.0,1628.0,1610,variable,relocate,145.0,0.10000015561315297,0.10000015561315297,0.10000015561315297,0.5999993775473881,0.10000015561315297
20,5.096102237701416,181596,1628.0,1628.0,1610,sequential,swap,0.0,0.10000015418961769,0.10000015418961769,0.10000015418961769,0.5999993832415292,0.10000015418961769
20,5.111682176589966,182326,1628.0,1628.0,1610,variable,2opt,0.0,0.10000015516392538,0.10000015516392538,0.10000015516392538,0.5999993793442985,0.10000015516392538
20,5.1120617389678955,182331,1686.0,1628.0,1610,variable,relocate,58.0,0.10000015516392538,0.10000015516392538,0.10000015516392538,0.5999993793442985,0.10000015516392538
20,5.121196985244751,182790,1984.0,1628.0,1610,variable,swap,356.0,0.10000004779936611,0.10000004779936611,0.10000004779936611,0.5999998088025356,0.10000004779936611
21,5.129822015762329,183169,1628.0,1628.0,1610,variable,relocate,0.0,0.10000004623469122,0.10000004623469122,0.10000004623469122,0.5999998150612351,0.10000004623469122
21,5.140784978866577,183652,1752.0,1628.0,1610,variable,swap,124.0,0.10000004658341569,0.10000004658341569,0.10000004658341569,0.5999998136663373,0.10000004658341569
21,5.160988807678223,184732,1628.0,1628.0,1610,nested,2opt,0.0,0.1000000460317657,0.1000000460317657,0.1000000460317657,0.5999998158729372,0.1000000460317657
21,5.252926349639893,188672,1693.0,1628.0,1610,nested,relocate,65.0,0.10000004614445061,0.10000004614445061,0.10000004614445061,0.5999998154221976,0.10000004614445061
21,5.2881104946136475,190506,1628.0,1628.0,1610,cyclic,swap,0.0,0.10000004613871294,0.10000004613871294,0.10000004613871294,0.5999998154451482,0.10000004613871294
21,5.296205520629883,190911,1676.0,1628.0,1610,variable,2opt,48.0,0.10000004613871294,0.10000004613871294,0.10000004613871294,0.5999998154451482,0.10000004613871294
21,5.397895812988281,194552,1668.0,1628.0,1610,cyclic,relocate,40.0,0.10000005384924397,0.10000005384924397,0.10000005384924397,0.5999997846030242,0.10000005384924397
