iteration,time,steps,cost,best_cost,benchmark,shake_operator,improvement
16,4.733943223953247,202421,1643.0,1643.0,1610,swap,0.0
17,4.783027410507202,204983,1678.0,1643.0,1610,relocate,35.0
17,4.8097288608551025,206414,1643.0,1643.0,1610,swap,0.0
17,4.830538749694824,207494,1643.0,1643.0,1610,2opt,0.0
17,4.884071588516235,210355,1663.0,1643.0,1610,relocate,20.0
17,4.912182807922363,211786,1643.0,1643.0,1610,swap,0.0
17,4.942886590957642,212866,1643.0,1643.0,1610,2opt,0.0
17,5.032535552978516,213946,1643.0,1643.0,1610,relocate,0.0
17,5.12176251411438,215377,1643.0,1643.0,1610,swap,0.0
18,5.178893566131592,216860,1693.0,1643.0,1610,relocate,50.0
18,5.212754487991333,217940,1643.0,1643.0,1610,swap,0.0
18,5.242655515670776,219020,1643.0,1643.0,1610,2opt,0.0
18,5.348413467407227,222284,1693.0,1643.0,1610,relocate,50.0
18,5.375093460083008,223715,1643.0,1643.0,1610,swap,0.0
18,5.395453453063965,224795,1658.0,1643.0,1610,2opt,15.0
18,5.422227144241333,226252,1663.0,1643.0,1610,relocate,20.0
18,5.44946551322937,227683,1643.0,1643.0,1610,swap,0.0
19,5.471827983856201,228763,1693.0,1643.0,1610,relocate,50.0
19,5.491653680801392,229843,1643.0,1643.0,1610,swap,0.0
19,5.5149993896484375,230923,1643.0,1643.0,1610,2opt,0.0
19,5.564284563064575,233459,1724.0,1643.0,1610,relocate,81.0
19,5.593493461608887,234890,1643.0,1643.0,1610,swap,0.0
19,5.615777015686035,235970,1643.0,1643.0,1610,2opt,0.0
19,5.683247089385986,239234,1693.0,1643.0,1610,relocate,50.0
19,5.715214252471924,240665,1643.0,1643.0,1610,swap,0.0
20,5.774088621139526,243526,1663.0,1643.0,1610,relocate,20.0
20,5.801880598068237,244957,1643.0,1643.0,1610,swap,0.0
20,5.823307752609253,246037,1643.0,1643.0,1610,2opt,0.0
20,5.851083278656006,247494,1663.0,1643.0,1610,relocate,20.0
20,5.890626430511475,248925,1643.0,1643.0,1610,swap,0.0
20,5.917536735534668,250005,1643.0,1643.0,1610,2opt,0.0
20,5.97917103767395,252164,1678.0,1643.0,1610,relocate,35.0
20,6.000180006027222,252991,1643.0,1643.0,1610,swap,0.0
